Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;Sw;PasCrs;TI;CK;CkIn;CkOut;CkStr;PasCmp;PasOff;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Blocks;BlkSh;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;ToAtt;ToSuc;ToSuc%;ToTkl;ToTkl%;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;Rec;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%;Cluster;Overall
1002;Andrew Gravillon;GLP;DF;Torino;Serie A;25;1998;1;0;11;0.10;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;90.00;100.00;90.00;1550.00;420.00;40.00;40.00;100.00;50.00;50.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;90.00;10.00;0.00;0.00;0.00;0.00;10.00;0.00;0.00;0.00;0.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;40.00;60.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;40.00;240.00;90.00;0.00;0.00;0.00;0.00;10.00;60.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;0.00;0.00;1;23.35
1003;Andrew Gravillon;GLP;DF;Reims;Ligue 1;25;1998;13;12;1038;11.50;0;0.70;0.09;12.50;0.00;0.00;18.30;0.09;0.00;0.00;28.70;38.70;74.20;547.70;215.10;11.00;13.70;80.90;13.80;16.60;83.20;3.30;6.52;50.70;0.00;0.26;2.70;0.35;0.17;3.30;38.70;33.40;5.04;1.65;0.17;0.43;1.39;3.39;0.00;0.00;0.00;0.00;28.70;0.26;0.61;0.78;0.43;0.17;0.00;0.17;0.00;0.00;0.09;0.09;0.00;0.00;0.00;0.00;0.00;1.39;0.70;0.78;0.52;0.09;0.70;1.13;61.50;0.43;1.57;0.78;0.78;1.83;3.22;3.13;0.00;49.20;5.04;20.50;22.60;6.96;0.52;49.20;1.04;0.61;58.30;0.26;25.00;32.20;192.40;102.90;1.57;1.04;0.09;0.96;0.35;26.70;1.22;0.26;0.00;0.00;1.57;1.22;0.00;1.39;0.70;0.00;0.00;0.00;5.65;1.13;1.04;52.00;1;23.35
1004;Demarai Gray;ENG;FWMF;Everton;Premier League;26;1996;20;19;1679;18.70;3;1.93;0.75;38.90;0.06;0.14;20.10;0.21;0.05;0.05;23.10;33.80;68.40;400.50;88.70;11.20;12.50;89.70;8.45;11.20;75.20;2.73;7.43;36.70;0.05;1.39;1.34;0.91;0.32;2.03;33.80;26.70;7.11;2.35;0.11;0.37;7.17;0.27;3.21;2.09;1.07;0.00;23.10;0.00;1.39;3.48;1.76;0.96;0.16;0.43;0.16;0.00;0.21;0.11;0.11;0.00;0.00;0.00;0.00;0.86;0.70;0.16;0.43;0.27;0.53;0.86;62.50;0.32;0.59;0.11;0.48;0.53;1.39;0.80;0.00;45.50;0.91;4.12;17.10;24.80;3.69;45.50;3.05;0.86;28.10;1.50;49.10;27.10;205.90;100.40;3.53;2.25;1.87;2.83;2.03;29.80;6.90;0.05;0.00;0.00;0.53;1.50;0.43;7.17;0.70;0.00;0.00;0.00;3.69;0.37;0.96;28.00;1;44.76
1005;Adrian Grbi?;AUT;MFFW;Lorient;Ligue 1;26;1996;2;0;25;0.30;0;10.00;0.00;0.00;0.00;0.00;28.50;6.67;0.00;0.00;3.33;6.67;50.00;33.30;0.00;3.33;6.67;50.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.67;6.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.33;0.00;3.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.33;0.00;3.33;10.00;0.00;10.00;0.00;0.00;0.00;0.00;36.70;0.00;3.33;10.00;23.30;0.00;36.70;0.00;0.00;0.00;0.00;0.00;20.00;103.30;56.70;3.33;3.33;0.00;0.00;0.00;20.00;6.67;0.00;0.00;0.00;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.67;0.00;2;14.03
1006;Ivo Grbi?;CRO;GK;AtlÃ©tico Madrid;La Liga;27;1996;4;2;208;2.30;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.80;37.80;47.10;578.30;442.60;2.61;3.04;85.70;7.39;7.39;100.00;7.83;27.40;28.60;0.00;0.00;0.00;0.00;0.00;0.00;37.80;22.20;15.70;5.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.30;0.00;41.70;35.20;41.70;0.00;0.00;0.00;41.70;0.00;0.00;0.00;0.00;0.00;19.60;117.00;85.20;0.00;0.00;0.00;0.00;0.00;13.90;0.00;0.43;0.00;0.00;0.00;0.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.43;0.00;100.00;2;
1007;Jack Grealish;ENG;FW;Manchester City;Premier League;27;1995;15;11;1040;11.60;2;1.64;0.34;21.10;0.11;0.50;13.60;0.00;0.00;0.00;40.10;47.90;83.60;581.60;104.30;25.30;27.40;92.50;12.00;13.80;86.90;1.98;3.45;57.50;0.26;2.24;1.29;1.47;0.00;3.53;47.90;45.00;2.67;0.34;0.09;0.17;3.02;0.95;1.38;0.95;0.00;0.09;40.10;0.26;1.55;4.57;3.10;0.34;0.34;0.26;0.43;0.09;0.78;0.60;0.00;0.00;0.00;0.09;0.09;1.21;0.69;0.43;0.60;0.17;0.60;1.12;53.80;0.52;1.12;0.00;1.12;0.34;1.55;0.34;0.00;58.50;0.69;5.09;19.60;35.20;6.12;58.50;4.57;1.72;37.70;1.55;34.00;42.90;386.60;180.90;6.72;4.14;2.76;1.64;1.55;47.70;13.60;0.09;0.00;0.00;1.21;3.45;0.09;3.02;0.69;0.00;0.00;0.00;4.83;0.69;0.43;61.50;4;29.98
1008;Sam Greenwood;ENG;MFFW;Leeds United;Premier League;21;2002;12;2;318;3.50;1;3.14;0.57;18.20;0.09;0.50;24.30;1.43;0.00;0.00;25.10;40.90;61.50;440.00;186.90;13.70;16.00;85.70;6.86;12.00;57.10;4.00;11.40;35.00;0.57;2.86;3.14;0.29;0.00;3.14;40.90;33.10;7.71;2.86;0.00;0.29;8.00;0.29;4.57;2.86;1.71;0.00;25.10;0.00;0.29;4.29;0.86;3.14;0.00;0.29;0.00;0.00;0.86;0.00;0.57;0.00;0.29;0.00;0.00;2.57;1.43;1.43;1.14;0.00;0.86;3.14;27.30;2.29;2.00;0.29;1.71;0.29;2.86;0.29;0.00;55.70;1.14;10.60;24.30;22.00;1.43;55.70;1.43;0.29;20.00;0.86;60.00;26.90;115.10;58.90;1.43;1.43;0.29;1.14;1.43;27.70;1.43;0.29;0.00;0.00;2.29;0.57;0.00;8.00;1.43;0.00;0.00;0.00;7.43;0.29;0.86;25.00;7;59.68
1009;Michael Gregoritsch;AUT;FW;Freiburg;Bundesliga;28;1994;20;19;1445;16.10;7;3.04;1.74;57.10;0.14;0.25;13.50;0.00;0.00;0.00;12.10;21.80;55.60;152.80;49.30;7.20;11.20;64.40;3.29;6.34;52.00;0.50;1.12;44.40;0.19;0.99;1.30;0.93;0.06;2.55;21.80;21.10;0.43;0.06;0.06;0.06;0.50;0.31;0.00;0.00;0.00;0.00;12.10;0.25;0.62;3.42;2.55;0.06;0.06;0.50;0.25;0.00;0.56;0.37;0.00;0.00;0.12;0.06;0.00;0.81;0.43;0.25;0.31;0.25;0.12;0.68;18.20;0.56;0.99;0.12;0.87;0.25;1.06;0.56;0.00;33.00;0.62;2.36;12.70;18.00;5.96;33.00;1.61;0.50;30.80;0.87;53.80;14.80;54.00;23.80;0.99;0.50;0.68;2.30;0.43;24.50;5.22;0.19;0.00;0.00;1.18;1.49;0.62;0.50;0.43;0.06;0.00;0.00;2.73;5.90;5.34;52.50;6;44.05
1010;Leo Greiml;AUT;DF;Schalke 04;Bundesliga;21;2001;4;2;222;2.50;0;0.40;0.40;100.00;0.00;0.00;10.80;0.00;0.00;0.00;39.60;49.20;80.50;844.80;270.40;8.80;9.60;91.70;25.60;28.80;88.90;4.80;10.00;48.00;0.00;0.00;1.60;0.40;0.00;2.80;49.20;48.40;0.80;0.80;0.00;0.00;0.80;0.00;0.00;0.00;0.00;0.00;39.60;0.00;0.40;0.40;0.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.20;0.40;0.40;0.40;0.40;1.20;2.00;60.00;0.80;1.60;1.20;0.40;0.40;1.60;4.00;0.00;58.00;8.80;34.40;22.80;0.80;0.40;58.00;0.00;0.00;0.00;0.00;0.00;32.80;121.20;68.40;0.80;0.00;0.00;0.80;0.00;35.20;0.00;0.40;0.00;0.00;3.20;0.40;0.00;0.80;0.40;0.00;0.40;0.00;6.00;2.00;0.40;83.30;7;26.21
1011;ClÃ©ment Grenier;FRA;MF;Mallorca;La Liga;32;1991;14;6;598;6.60;0;0.45;0.30;66.70;0.00;0.00;23.10;0.15;0.00;0.00;31.80;43.60;72.90;527.00;150.50;16.20;18.60;87.00;10.30;13.50;76.40;3.79;8.48;44.60;0.00;1.21;3.64;0.91;0.30;5.00;43.60;38.80;4.39;2.12;0.00;0.91;3.79;0.00;1.82;0.91;0.76;0.00;31.80;0.45;0.45;1.97;1.52;0.30;0.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.58;1.21;0.61;1.52;0.45;1.06;1.52;70.00;0.45;1.36;0.15;1.21;0.91;3.48;1.06;0.00;54.10;1.21;8.03;29.40;16.80;0.61;54.10;1.06;0.45;42.90;0.30;28.60;28.30;102.00;41.70;0.45;0.76;0.15;2.27;0.61;35.90;3.03;1.06;0.00;0.00;2.88;1.97;0.00;3.79;1.21;0.00;0.00;0.00;5.45;0.45;1.06;30.00;8;27.60
1012;Antoine Griezmann;FRA;FWMF;AtlÃ©tico Madrid;La Liga;31;1991;20;13;1266;14.10;6;3.55;1.49;42.00;0.12;0.29;19.10;0.28;0.00;0.00;36.90;49.30;74.80;594.80;171.30;19.60;22.50;87.40;11.80;15.50;76.60;3.55;7.52;47.20;0.43;2.70;2.98;1.49;0.43;4.54;49.30;43.70;5.39;1.49;0.64;0.50;5.82;0.21;3.05;2.13;0.43;0.00;36.90;0.21;1.13;5.18;3.12;0.92;0.35;0.43;0.35;0.00;0.57;0.43;0.07;0.00;0.07;0.00;0.00;1.63;1.13;0.28;0.99;0.35;0.43;1.56;27.30;1.13;1.35;0.14;1.21;0.78;2.41;0.50;0.00;61.60;0.92;6.67;30.00;26.00;4.11;61.50;3.05;1.42;46.50;1.28;41.90;37.10;199.20;103.40;3.26;2.20;0.71;0.92;1.49;43.10;6.67;0.00;0.00;0.00;0.85;1.49;0.35;5.82;1.13;0.00;0.00;0.00;5.60;0.92;1.13;44.80;7;79.08
1013;Vincenzo Grifo;ITA;FWMF;Freiburg;Bundesliga;29;1993;19;16;1289;14.30;11;2.17;0.91;41.90;0.16;0.38;22.90;0.56;0.42;0.49;38.70;52.20;74.10;682.80;201.50;17.90;21.00;85.30;15.10;18.30;82.40;4.48;9.86;45.40;0.21;2.45;3.29;2.38;0.21;5.73;52.20;45.50;6.22;2.38;0.35;0.63;4.90;0.84;2.52;1.68;0.35;0.00;38.70;0.42;0.98;5.45;3.64;1.12;0.07;0.49;0.07;0.07;0.63;0.14;0.28;0.00;0.14;0.07;0.00;0.49;0.21;0.14;0.28;0.07;0.14;0.84;16.70;0.70;0.21;0.00;0.21;0.56;1.05;0.63;0.00;60.60;1.12;6.99;29.30;25.00;2.38;60.10;2.38;1.47;61.80;0.63;26.50;35.70;204.30;100.60;2.73;1.82;0.70;1.40;0.91;42.00;5.17;0.07;0.00;0.00;0.21;1.19;0.07;4.90;0.21;0.07;0.00;0.00;4.90;0.42;0.56;42.90;7;100.00
1014;Lennart Grill;GER;GK;Union Berlin;Bundesliga;24;1999;4;4;360;4.00;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30.30;43.30;69.90;959.30;766.80;4.50;4.50;100.00;14.30;14.50;98.30;11.50;24.00;47.90;0.00;0.00;2.00;0.00;0.00;0.00;43.30;37.50;5.75;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30.30;0.00;0.25;0.50;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.25;45.00;31.50;43.80;1.25;0.00;0.00;45.00;0.00;0.00;0.00;0.00;0.00;29.80;148.00;92.50;0.00;0.00;0.00;0.00;0.00;27.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.50;0.00;100.00;0;
1015;Christian GroÃŸ;GER;MF;Werder Bremen;Bundesliga;34;1989;17;15;1198;13.30;1;0.23;0.08;33.30;0.33;1.00;28.10;0.00;0.00;0.00;31.90;38.90;81.90;481.50;137.40;17.40;19.70;88.20;11.10;13.80;80.30;1.95;2.48;78.80;0.00;0.30;2.93;0.38;0.15;2.86;38.90;37.80;1.05;1.05;0.08;0.15;0.30;0.00;0.00;0.00;0.00;0.00;31.90;0.08;0.83;1.35;1.20;0.00;0.00;0.08;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.71;1.20;0.90;1.65;0.15;1.43;3.16;45.20;1.73;1.28;0.38;0.90;1.28;3.98;2.03;0.00;49.20;2.86;13.10;30.70;5.86;0.38;49.20;1.13;0.75;66.70;0.38;33.30;21.60;96.20;45.30;0.98;0.53;0.08;0.98;0.53;25.00;0.68;0.08;0.00;0.00;2.56;0.75;0.00;0.30;1.20;0.00;0.00;0.00;6.39;1.13;1.13;50.00;8;30.20
1016;Pascal GroÃŸ;GER;MFDF;Brighton;Premier League;31;1991;21;21;1821;20.20;6;1.04;0.50;47.60;0.29;0.60;16.00;0.00;0.00;0.00;47.10;61.40;76.70;769.40;223.50;24.00;26.70;89.80;18.20;22.20;81.70;3.61;8.91;40.60;0.15;2.08;4.01;1.49;0.15;7.03;61.40;51.40;9.75;2.43;0.30;0.79;6.68;2.33;4.01;2.13;1.39;0.10;47.10;0.25;1.53;3.71;2.38;1.14;0.00;0.15;0.00;0.05;0.25;0.25;0.00;0.00;0.00;0.00;0.00;1.73;0.89;0.69;0.79;0.25;0.74;1.53;48.40;0.79;0.94;0.25;0.69;0.50;2.23;0.45;0.00;68.90;1.68;11.50;30.50;27.20;2.82;68.90;0.79;0.30;37.50;0.40;50.00;38.00;168.60;75.30;1.39;1.14;0.05;1.24;0.54;47.00;5.99;0.10;0.00;0.00;0.84;0.50;0.35;6.68;0.89;0.00;0.05;0.00;3.56;0.15;1.14;11.50;8;100.00
1017;Brajan Gruda;GER;MF;Mainz 05;Bundesliga;18;2004;2;0;4;0.00;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;4.00;50.00;49.00;17.00;1.00;3.00;33.30;0.00;0.00;0.00;1.00;1.00;100.00;0.00;1.00;0.00;1.00;1.00;0.00;4.00;4.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.00;0.00;0.00;2.00;6.00;1.00;8.00;2.00;0.00;0.00;2.00;100.00;4.00;29.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;7;13.20
1018;Ilia Gruev;BUL;MF;Werder Bremen;Bundesliga;22;2000;18;11;960;10.70;0;0.19;0.09;50.00;0.00;0.00;19.70;0.00;0.00;0.00;38.30;44.60;86.00;635.80;181.10;18.30;20.20;90.70;16.60;18.50;89.90;2.80;4.21;66.70;0.00;0.47;2.99;0.84;0.19;3.83;44.60;41.10;3.46;1.68;0.19;0.28;1.03;0.09;0.19;0.00;0.19;0.00;38.30;0.00;0.65;1.50;1.03;0.37;0.00;0.00;0.09;0.00;0.09;0.09;0.00;0.00;0.00;0.00;0.00;2.34;1.40;1.03;1.12;0.19;0.93;1.68;55.60;0.75;1.50;0.47;1.03;1.50;3.83;1.21;0.09;54.70;2.34;14.10;34.40;6.73;0.28;54.70;0.47;0.28;60.00;0.19;40.00;26.80;124.20;60.00;1.12;1.21;0.00;1.03;0.56;30.70;0.84;0.09;0.00;0.00;1.87;0.37;0.00;1.03;1.40;0.00;0.00;0.00;6.82;1.03;0.93;52.40;8;28.47
1019;Carlos Gruezo;ECU;MF;Augsburg;Bundesliga;27;1995;13;12;961;10.70;0;0.19;0.00;0.00;0.00;0.00;32.10;0.00;0.00;0.00;18.60;25.80;72.10;382.20;123.30;5.89;7.48;78.80;8.22;10.30;80.00;3.74;6.54;57.10;0.00;0.56;2.34;0.56;0.00;2.71;25.80;25.20;0.47;0.47;0.09;0.47;0.19;0.00;0.00;0.00;0.00;0.00;18.60;0.09;0.28;1.12;1.12;0.00;0.00;0.00;0.00;0.00;0.37;0.37;0.00;0.00;0.00;0.00;0.00;1.96;1.12;1.12;0.84;0.00;0.84;1.50;56.30;0.65;1.21;0.37;0.84;0.93;2.90;1.40;0.00;33.60;2.52;12.30;18.30;3.46;0.09;33.60;0.65;0.47;71.40;0.19;28.60;14.40;75.50;29.80;0.19;0.56;0.00;0.65;0.28;13.50;0.47;0.47;0.00;0.00;1.12;0.84;0.00;0.19;1.12;0.00;0.09;0.00;6.64;0.84;1.21;40.90;8;23.21
1020;Vicente Guaita;ESP;GK;Crystal Palace;Premier League;36;1987;22;22;1980;22.00;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.00;32.10;71.60;590.20;390.60;6.18;6.27;98.60;9.36;9.59;97.60;6.95;15.50;44.70;0.00;0.00;0.14;0.00;0.00;0.05;32.10;22.50;9.50;1.77;0.00;0.18;0.00;0.00;0.00;0.00;0.00;0.00;23.00;0.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.36;0.05;34.00;29.80;34.00;0.09;0.00;0.00;34.00;0.00;0.00;0.00;0.00;0.00;19.60;100.50;63.80;0.00;0.00;0.00;0.05;0.00;14.70;0.00;0.05;0.00;0.00;0.05;0.14;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.41;0.05;90.00;2;
1021;AndrÃ©s Guardado;MEX;MFFW;Betis;La Liga;36;1986;14;8;691;7.70;1;0.39;0.26;66.70;0.33;0.50;18.20;0.13;0.00;0.00;42.50;51.80;82.00;823.20;254.70;19.20;21.40;89.70;16.80;19.40;86.60;6.10;8.57;71.20;0.00;1.04;3.25;0.65;0.00;4.68;51.80;47.30;4.42;2.60;0.39;1.30;0.91;0.91;0.91;0.13;0.65;0.00;42.50;0.13;1.17;2.08;1.30;0.39;0.00;0.26;0.13;0.00;0.39;0.26;0.00;0.00;0.13;0.00;0.00;2.47;1.43;1.17;1.30;0.00;0.91;2.47;36.80;1.56;1.17;0.52;0.65;1.30;3.77;1.69;0.00;61.20;2.21;17.70;34.70;9.61;0.78;61.20;0.39;0.13;33.30;0.26;66.70;33.90;154.80;69.40;0.65;0.52;0.00;1.56;0.65;38.60;1.17;0.52;0.00;0.00;1.30;0.65;0.00;0.91;1.43;0.00;0.00;0.00;7.40;0.91;2.08;30.40;4;36.12
1022;Sergi Guardiola;ESP;FW;Valladolid;La Liga;31;1991;14;8;502;5.60;0;1.96;0.54;27.30;0.00;0.00;17.70;0.00;0.00;0.00;13.20;20.90;63.20;169.30;26.60;8.39;11.60;72.30;3.21;4.64;69.20;0.54;0.89;60.00;0.00;0.36;0.18;0.18;0.18;0.54;20.90;19.30;1.43;0.00;0.00;0.00;0.54;0.00;0.00;0.00;0.00;0.00;13.20;0.18;1.07;1.43;1.07;0.00;0.00;0.00;0.18;0.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.14;1.25;1.07;0.89;0.18;0.36;0.71;50.00;0.36;1.07;0.00;1.07;0.36;2.50;1.25;0.00;34.10;1.25;4.82;16.30;13.20;3.04;34.10;1.25;0.00;0.00;1.07;85.70;17.70;66.60;25.70;1.25;1.07;0.36;3.21;0.71;22.30;3.57;0.18;0.00;0.00;2.50;1.61;0.71;0.54;1.25;0.00;0.00;0.00;2.50;1.61;2.50;39.10;0;33.08
1023;Sergi Guardiola;ESP;FW;CÃ¡diz;La Liga;31;1991;2;1;96;1.10;1;5.45;1.82;33.30;0.17;0.50;16.50;0.00;0.00;0.00;24.50;29.10;84.40;266.40;50.90;17.30;19.10;90.50;4.55;7.27;62.50;0.91;0.91;100.00;0.00;1.82;0.00;0.91;0.00;0.91;29.10;28.20;0.91;0.00;0.00;0.00;0.91;0.00;0.00;0.00;0.00;0.00;24.50;0.00;0.00;3.64;3.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.91;0.91;0.00;0.00;0.91;0.00;0.91;0.00;0.91;0.91;0.00;0.91;0.00;0.91;0.91;0.00;43.60;1.82;3.64;14.50;26.40;4.55;43.60;2.73;1.82;66.70;0.91;33.30;21.80;80.90;32.70;1.82;0.91;0.91;0.91;1.82;30.90;5.45;0.00;0.00;0.00;0.91;0.91;0.91;0.91;0.91;0.00;0.00;0.00;3.64;0.91;0.91;50.00;0;33.08
1024;Nemanja Gudelj;SRB;DFMF;Sevilla;La Liga;31;1991;19;18;1604;17.80;2;1.29;0.34;26.10;0.09;0.33;24.80;0.17;0.00;0.00;51.10;55.10;92.90;868.80;278.20;22.20;23.40;95.00;24.80;26.10;95.30;2.92;3.99;73.20;0.00;0.11;4.27;0.06;0.00;3.71;55.10;52.50;2.42;1.91;0.06;0.22;0.00;0.11;0.00;0.00;0.00;0.00;51.10;0.11;0.11;0.73;0.56;0.00;0.00;0.11;0.06;0.00;0.06;0.06;0.00;0.00;0.00;0.00;0.00;1.29;1.07;0.73;0.51;0.06;0.62;0.96;64.70;0.34;1.52;1.18;0.34;0.73;2.02;3.88;0.06;65.40;7.47;28.70;31.00;5.90;0.62;65.40;0.06;0.06;100.00;0.00;0.00;38.50;198.30;114.70;0.96;1.29;0.00;0.67;0.06;45.90;0.22;0.28;0.00;0.00;0.67;0.79;0.00;0.00;1.07;0.00;0.00;0.00;3.31;1.46;0.62;70.30;0;23.66
1025;Gabriel Gudmundsson;SWE;FWDF;Lille;Ligue 1;23;1999;5;1;109;1.20;0;0.83;0.00;0.00;0.00;0.00;25.10;0.00;0.00;0.00;24.20;34.20;70.70;386.70;97.50;13.30;15.80;84.20;7.50;11.70;64.30;2.50;5.83;42.90;0.00;3.33;0.83;1.67;1.67;1.67;34.20;31.70;2.50;0.83;0.00;0.00;5.00;1.67;0.00;0.00;0.00;0.00;24.20;0.00;0.00;4.17;3.33;0.00;0.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.33;2.50;0.00;2.50;0.83;0.83;1.67;50.00;0.83;0.83;0.00;0.83;1.67;5.00;0.00;0.00;45.00;0.83;9.17;18.30;18.30;2.50;45.00;4.17;3.33;80.00;0.83;20.00;27.50;226.70;112.50;5.83;3.33;0.83;0.00;1.67;28.30;5.00;0.00;0.00;0.00;1.67;3.33;0.83;5.00;2.50;0.00;0.00;0.00;2.50;0.83;0.00;100.00;7;9.10
1026;GonÃ§alo Guedes;POR;FWMF;Wolves;Premier League;26;1996;13;8;707;7.90;1;2.41;0.76;31.60;0.05;0.17;18.40;0.13;0.00;0.00;17.50;25.40;68.70;290.80;66.60;10.40;12.30;84.50;5.06;7.09;71.40;1.65;3.29;50.00;0.13;1.14;1.39;1.01;0.25;2.03;25.40;23.00;2.41;0.25;0.00;0.51;3.42;0.25;1.77;0.38;1.01;0.25;17.50;0.00;1.01;3.42;1.90;0.38;0.13;0.25;0.63;0.13;0.13;0.13;0.00;0.00;0.00;0.00;0.00;1.01;0.76;0.51;0.38;0.13;0.63;1.01;62.50;0.38;0.51;0.00;0.51;0.13;1.14;0.25;0.00;35.40;0.38;3.54;13.30;19.40;3.80;35.40;1.90;0.63;33.30;0.89;46.70;22.00;164.90;81.50;2.53;1.52;0.89;2.15;0.89;25.20;6.84;0.13;0.00;0.00;1.39;3.04;0.63;3.42;0.76;0.00;0.00;0.00;4.30;0.89;1.39;38.90;9;34.08
1027;Axel Gueguin;FRA;FWMF;Montpellier;Ligue 1;17;2005;2;0;14;0.20;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30.00;45.00;66.70;440.00;175.00;20.00;25.00;80.00;10.00;10.00;100.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;45.00;40.00;5.00;0.00;0.00;0.00;5.00;0.00;5.00;5.00;0.00;0.00;30.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;0.00;5.00;0.00;0.00;0.00;0.00;55.00;0.00;5.00;5.00;45.00;0.00;55.00;0.00;0.00;0.00;0.00;0.00;30.00;100.00;50.00;0.00;5.00;0.00;5.00;0.00;35.00;25.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;0.00;0.00;0.00;0.00;5.00;0.00;5.00;0.00;2;8.11
