Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;Sw;PasCrs;TI;CK;CkIn;CkOut;CkStr;PasCmp;PasOff;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Blocks;BlkSh;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;ToAtt;ToSuc;ToSuc%;ToTkl;ToTkl%;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;Rec;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%;Cluster;Overall
2463;Souleymane TourÃ©;FRA;DF;Marseille;Ligue 1;19;2003;5;0;68;0.80;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;40.00;47.50;84.20;728.80;197.50;12.50;16.30;76.90;26.30;28.80;91.30;1.25;2.50;50.00;0.00;0.00;3.75;0.00;0.00;2.50;47.50;46.30;1.25;1.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;40.00;0.00;0.00;1.25;1.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.50;1.25;1.25;1.25;0.00;1.25;2.50;50.00;1.25;1.25;0.00;1.25;0.00;2.50;6.25;0.00;61.30;7.50;28.80;31.30;2.50;0.00;61.30;1.25;0.00;0.00;1.25;100.00;38.80;201.30;56.30;1.25;0.00;0.00;1.25;0.00;36.30;1.25;1.25;0.00;0.00;2.50;0.00;0.00;0.00;1.25;0.00;0.00;0.00;6.25;1.25;0.00;100.00;4;28.57
2464;Souleymane TourÃ©;FRA;DF;Auxerre;Ligue 1;19;2003;5;4;347;3.90;0;0.51;0.00;0.00;0.00;0.00;7.40;0.00;0.00;0.00;47.40;53.10;89.40;976.70;306.70;11.80;14.10;83.60;27.20;29.20;93.00;7.44;8.21;90.60;0.00;0.77;3.59;0.26;0.00;4.10;53.10;51.80;1.28;1.03;0.00;0.77;0.00;0.26;0.00;0.00;0.00;0.00;47.40;0.00;0.51;2.05;1.79;0.00;0.00;0.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.28;0.00;1.03;0.26;0.00;1.03;1.03;100.00;0.00;1.54;0.26;1.28;1.28;2.56;3.33;0.26;63.60;7.69;32.30;27.40;4.36;1.28;63.60;1.54;0.51;33.30;0.77;50.00;45.90;268.20;128.50;0.26;0.51;0.00;0.51;0.26;43.10;0.77;0.51;0.26;0.26;1.54;0.51;0.00;0.00;0.00;0.00;0.00;0.00;5.13;1.54;0.26;85.70;4;28.57
2465;Lucas Tousart;FRA;MF;Hertha BSC;Bundesliga;25;1997;18;18;1594;17.70;2;1.19;0.34;28.60;0.10;0.33;18.00;0.00;0.00;0.00;18.50;28.90;64.00;317.30;116.70;8.70;12.20;71.30;7.40;10.10;73.60;1.81;3.67;49.20;0.00;0.45;2.94;0.23;0.06;3.39;28.90;28.40;0.40;0.40;0.06;0.17;0.68;0.00;0.00;0.00;0.00;0.00;18.50;0.06;1.13;1.30;1.02;0.00;0.00;0.17;0.06;0.06;0.06;0.06;0.00;0.00;0.00;0.00;0.00;2.32;1.19;1.02;1.02;0.28;0.68;1.41;48.00;0.73;0.79;0.06;0.73;1.47;3.79;2.32;0.06;41.90;2.49;11.00;23.70;8.19;1.98;41.90;1.02;0.23;22.20;0.62;61.10;17.60;100.30;42.10;0.85;0.56;0.06;1.58;0.85;20.10;1.75;0.00;0.00;0.00;1.13;1.19;0.06;0.68;1.19;0.00;0.00;0.00;5.54;2.82;2.09;57.50;8;26.71
2466;Yoann Touzghar;TUN;FW;Ajaccio;Ligue 1;36;1986;8;5;390;4.30;0;0.70;0.00;0.00;0.00;0.00;11.10;0.00;0.00;0.00;16.30;23.00;70.70;194.90;33.70;12.60;15.30;81.80;2.56;4.19;61.10;0.23;0.47;50.00;0.00;0.23;0.93;0.00;0.00;1.40;23.00;22.10;0.93;0.00;0.00;0.00;0.47;0.00;0.00;0.00;0.00;0.00;16.30;0.00;2.09;0.23;0.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.70;0.47;0.00;0.47;0.23;0.00;0.23;0.00;0.23;0.00;0.00;0.00;0.00;0.70;0.23;0.00;29.50;0.93;2.33;16.30;10.90;1.63;29.50;1.40;0.47;33.30;0.70;50.00;19.50;101.60;20.50;0.70;0.47;0.23;2.09;0.70;21.20;4.88;0.00;0.00;0.00;0.93;0.93;0.23;0.47;0.47;0.00;0.00;0.00;2.09;1.63;4.42;26.90;3;6.67
2467;Adama TraorÃ©;ESP;FWMF;Wolves;Premier League;27;1996;19;7;900;10.00;1;1.30;0.30;23.10;0.08;0.33;14.90;0.00;0.00;0.00;19.60;30.00;65.30;284.60;70.10;12.30;16.60;74.10;5.00;7.60;65.80;1.30;2.60;50.00;0.10;1.30;1.10;1.30;0.80;2.40;30.00;29.90;0.00;0.00;0.20;0.00;4.70;0.00;0.00;0.00;0.00;0.00;19.60;0.10;1.30;2.70;2.30;0.00;0.10;0.10;0.20;0.00;0.30;0.20;0.00;0.00;0.10;0.00;0.00;1.00;0.40;0.40;0.30;0.30;0.20;0.40;50.00;0.20;0.60;0.10;0.50;0.10;1.10;0.60;0.00;42.60;0.70;5.80;15.80;22.00;3.10;42.60;5.70;2.30;40.40;2.50;43.90;27.50;238.10;124.00;5.00;2.20;1.30;3.60;1.60;32.60;8.90;0.00;0.00;0.00;0.80;1.80;0.30;4.70;0.40;0.00;0.00;0.00;4.10;2.50;1.20;67.60;1;31.71
2468;Boubacar TraorÃ©;MLI;MF;Wolves;Premier League;21;2001;8;4;384;4.30;0;0.70;0.00;0.00;0.00;0.00;29.30;0.00;0.00;0.00;22.60;29.10;77.60;381.60;127.40;10.20;12.30;83.00;10.90;12.60;87.00;1.16;2.33;50.00;0.23;0.23;3.72;0.23;0.00;1.86;29.10;28.40;0.00;0.00;0.00;0.00;0.23;0.00;0.00;0.00;0.00;0.00;22.60;0.70;0.23;1.40;1.40;0.00;0.00;0.00;0.00;0.00;0.47;0.47;0.00;0.00;0.00;0.00;0.00;2.33;0.93;0.93;0.70;0.70;0.47;1.40;33.30;0.93;0.93;0.47;0.47;1.63;3.95;0.23;0.00;36.50;1.40;8.60;22.30;6.05;0.47;36.50;1.63;0.70;42.90;0.70;42.90;17.20;104.20;56.00;0.93;0.70;0.00;0.47;0.70;19.50;0.47;0.47;0.00;0.00;2.33;0.47;0.00;0.23;0.93;0.00;0.00;0.00;5.81;1.63;1.86;46.70;8;25.48
2469;Charles Traore;MLI;DF;Nantes;Ligue 1;31;1992;7;3;228;2.50;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;39.20;50.40;77.80;706.00;320.40;14.80;17.20;86.00;17.20;21.60;79.60;4.40;7.20;61.10;0.00;0.80;3.20;0.80;0.40;2.00;50.40;34.40;16.00;1.20;0.00;0.00;1.60;14.80;0.00;0.00;0.00;0.00;39.20;0.00;2.00;0.80;0.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.20;0.80;1.20;0.00;0.00;1.20;1.60;75.00;0.40;2.80;0.40;2.40;1.60;2.80;2.00;0.00;61.60;5.60;20.40;30.00;11.20;0.40;61.60;0.80;0.00;0.00;0.00;0.00;30.80;139.20;57.60;0.80;0.80;0.00;0.80;0.00;25.60;1.60;0.80;0.00;0.00;1.60;2.80;0.00;1.60;0.80;0.00;0.00;0.00;5.60;1.20;1.20;50.00;2;28.35
2470;Hamari TraorÃ©;MLI;DF;Rennes;Ligue 1;31;1992;19;18;1633;18.10;1;0.99;0.33;33.30;0.06;0.17;17.80;0.00;0.00;0.00;59.50;70.10;84.90;1048.70;320.70;24.30;27.00;90.20;29.80;34.00;87.60;4.59;7.24;63.40;0.11;0.77;5.30;1.44;0.50;6.13;70.10;62.10;7.90;1.27;0.11;0.39;2.21;6.63;0.00;0.00;0.00;0.00;59.50;0.11;0.99;2.21;1.99;0.00;0.00;0.17;0.00;0.06;0.39;0.39;0.00;0.00;0.00;0.00;0.00;1.60;1.05;0.88;0.66;0.06;0.83;1.60;51.70;0.77;1.27;0.28;0.99;1.38;2.98;2.54;0.00;79.60;3.15;16.30;42.70;20.90;2.04;79.60;0.55;0.11;20.00;0.44;80.00;58.10;298.80;139.30;2.38;2.71;0.39;1.05;0.33;53.90;5.86;0.22;0.00;0.00;1.10;0.33;0.11;2.21;1.05;0.00;0.06;0.00;5.69;1.27;0.77;62.20;1;27.98
2471;Kevin Trapp;GER;GK;Eint Frankfurt;Bundesliga;32;1990;18;18;1620;18.00;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.40;26.20;66.30;453.20;295.70;3.67;3.72;98.50;8.67;8.83;98.10;4.94;13.30;37.10;0.00;0.00;0.22;0.00;0.00;0.00;26.20;17.30;8.67;1.61;0.00;0.22;0.00;0.00;0.00;0.00;0.00;0.00;17.40;0.22;0.00;0.06;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.11;0.00;0.06;0.28;0.00;28.40;25.70;28.30;0.06;0.00;0.00;28.40;0.00;0.00;0.00;0.00;0.00;14.30;70.20;42.90;0.00;0.00;0.00;0.00;0.00;11.40;0.00;0.11;0.00;0.00;0.00;0.11;0.00;0.00;0.06;0.00;0.00;0.00;0.89;0.06;0.00;100.00;2;
2472;Mark Travers;IRL;GK;Bournemouth;Premier League;23;1999;11;10;945;10.50;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.20;30.90;75.30;687.70;498.10;7.90;7.90;100.00;7.81;7.90;98.80;7.43;15.00;49.70;0.00;0.00;0.38;0.00;0.00;0.00;30.90;17.30;13.50;3.05;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;23.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.10;0.00;0.00;0.57;0.00;33.70;31.20;33.60;0.10;0.00;0.00;33.70;0.00;0.00;0.00;0.00;0.00;15.10;74.90;39.30;0.00;0.00;0.00;0.00;0.00;11.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.48;0.29;0.00;100.00;2;
2473;Ã“scar Trejo;ARG;MFFW;Rayo Vallecano;La Liga;34;1988;18;16;1208;13.40;2;0.67;0.22;33.30;0.11;0.33;19.10;0.00;0.07;0.15;34.00;42.10;80.90;466.60;126.30;21.10;23.30;90.70;9.70;11.90;81.30;1.72;3.51;48.90;0.22;1.72;4.40;1.04;0.15;5.00;42.10;38.70;3.28;1.27;0.37;0.15;1.79;0.37;0.90;0.52;0.00;0.00;34.00;0.07;1.12;3.81;2.99;0.22;0.15;0.07;0.30;0.07;0.37;0.30;0.07;0.00;0.00;0.00;0.00;1.87;1.42;0.37;0.97;0.52;0.45;1.04;42.90;0.60;1.19;0.15;1.04;0.45;2.31;0.37;0.00;55.70;0.75;4.48;29.30;23.20;2.76;55.60;3.88;1.57;40.40;1.72;44.20;34.90;196.00;86.10;2.16;2.69;0.30;2.76;3.51;40.70;4.33;0.60;0.00;0.00;3.21;3.13;0.15;1.79;1.42;0.00;0.00;0.00;5.90;0.45;1.72;20.70;3;46.59
2474;Manu Trigueros;ESP;MFFW;Villarreal;La Liga;31;1991;11;3;380;4.20;0;0.71;0.24;33.30;0.00;0.00;22.20;0.00;0.00;0.00;48.60;54.30;89.50;708.10;170.50;28.60;30.00;95.20;17.40;20.50;84.90;1.67;2.14;77.80;0.00;0.48;4.29;0.95;0.00;7.14;54.30;51.90;2.38;1.90;0.00;0.00;0.24;0.24;0.24;0.24;0.00;0.00;48.60;0.00;0.24;0.95;0.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.67;0.95;1.19;0.48;0.00;0.71;2.62;27.30;1.90;0.71;0.24;0.48;0.48;2.14;0.48;0.00;60.00;1.90;6.67;36.00;17.60;0.71;60.00;0.24;0.00;0.00;0.24;100.00;33.80;126.70;52.10;0.95;0.48;0.00;0.48;1.43;49.50;2.86;0.48;0.00;0.00;1.43;1.67;0.00;0.24;0.95;0.00;0.00;0.00;2.86;0.24;1.43;14.30;2;32.15
2475;Christopher Trimmel;AUT;DF;Union Berlin;Bundesliga;35;1987;16;13;1199;13.30;0;0.68;0.08;11.10;0.00;0.00;16.80;0.00;0.00;0.00;29.10;48.00;60.70;511.60;216.20;13.30;16.10;82.70;11.70;16.70;70.30;3.08;12.30;25.20;0.38;1.58;2.26;0.98;0.75;2.63;48.00;31.60;15.90;2.33;0.00;0.08;7.74;9.77;3.76;1.73;1.73;0.00;29.10;0.53;0.83;2.78;1.43;1.28;0.00;0.00;0.08;0.00;0.45;0.00;0.45;0.00;0.00;0.00;0.00;1.80;1.05;1.05;0.68;0.08;1.20;1.80;66.70;0.60;0.83;0.08;0.75;1.43;3.23;2.18;0.00;56.20;3.08;15.20;23.80;17.40;1.20;56.20;0.60;0.08;12.50;0.38;62.50;20.80;106.00;51.40;1.80;0.45;0.38;0.68;0.45;25.10;4.29;0.08;0.00;0.00;1.05;0.38;0.08;7.74;1.05;0.00;0.08;0.00;5.34;0.90;0.90;50.00;2;25.89
2476;Kieran Trippier;ENG;DF;Newcastle Utd;Premier League;32;1990;22;22;1954;21.70;1;0.37;0.09;25.00;0.13;0.50;28.10;0.37;0.00;0.00;52.20;73.10;71.40;996.80;437.20;22.90;26.10;87.50;19.60;26.00;75.40;8.80;17.50;50.40;0.18;3.00;4.56;2.76;0.92;6.36;73.10;53.80;18.90;5.12;0.46;0.28;10.40;8.53;5.30;1.94;2.21;0.51;52.20;0.37;1.34;4.93;2.17;2.58;0.00;0.05;0.09;0.05;0.32;0.28;0.05;0.00;0.00;0.00;0.00;2.17;1.52;1.20;0.92;0.05;1.38;2.53;54.50;1.15;1.20;0.55;0.65;1.20;3.36;1.98;0.00;81.60;2.95;19.50;34.20;28.30;0.74;81.60;0.97;0.41;42.90;0.37;38.10;33.50;108.70;54.10;0.97;0.97;0.05;0.65;0.18;41.70;4.38;0.23;0.00;0.00;1.15;0.83;0.23;10.40;1.52;0.00;0.05;0.00;6.96;1.38;0.97;58.80;4;32.97
